price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,age,dist_city_center_km
3005000,4653,2,1,2,yes,no,no,no,no,1,no,unfurnished,4.0,4.2
4013000,4011,5,4,1,yes,no,no,no,yes,2,no,unfurnished,23.0,3.0
3932000,6846,3,3,1,yes,no,yes,no,no,0,no,furnished,79.0,2.8
5393000,7768,6,2,2,yes,yes,no,no,no,2,no,furnished,12.0,2.9
4021000,7549,3,1,1,yes,no,yes,no,no,1,no,furnished,19.0,17.3
3687000,3654,3,2,3,yes,no,no,no,yes,2,no,furnished,18.0,10.3
3928000,4820,3,1,1,yes,no,yes,no,yes,3,no,furnished,5.0,8.9
3327000,6229,3,2,1,yes,no,yes,no,no,3,no,unfurnished,10.0,12.8
4470000,7646,4,1,2,yes,no,no,no,no,3,no,semi-furnished,21.0,2.4
3146000,4446,3,3,2,yes,yes,no,no,yes,1,no,semi-furnished,14.0,7.7
3271000,5092,3,1,2,yes,no,yes,no,no,1,no,unfurnished,0.0,4.9
3142000,3066,5,2,1,yes,yes,no,no,no,1,no,semi-furnished,5.0,12.2
2911000,2868,5,2,4,yes,no,yes,no,no,2,no,semi-furnished,2.0,3.0
4787000,7288,5,2,2,no,no,yes,no,yes,2,no,furnished,3.0,8.2
4113000,8484,3,1,1,no,no,,no,yes,0,no,semi-furnished,,
4935000,5342,4,4,2,no,no,no,no,yes,3,yes,furnished,0.0,4.1
4637000,7708,3,2,3,yes,no,no,no,yes,2,no,unfurnished,3.0,0.6
3493000,6296,3,2,1,yes,yes,no,no,no,3,no,semi-furnished,4.0,5.8
3085000,4081,2,1,1,yes,no,no,no,yes,2,yes,unfurnished,12.0,3.4
3559000,6295,3,2,3,yes,yes,yes,no,no,1,no,semi-furnished,9.0,8.9
4731000,8884,2,2,2,yes,no,yes,no,yes,0,no,semi-furnished,3.0,24.1
3077000,5421,3,1,2,yes,no,no,no,no,0,no,semi-furnished,2.0,5.3
5244000,8942,5,1,1,yes,yes,yes,no,yes,1,no,semi-furnished,3.0,5.0
1857000,700,2,3,1,yes,yes,no,no,yes,2,no,unfurnished,8.0,8.5
3564000,7308,2,1,2,no,no,no,no,yes,2,no,furnished,4.0,0.9
3396000,5692,2,1,1,yes,no,no,no,no,2,yes,furnished,35.0,2.3
4761000,4842,5,2,2,yes,no,yes,no,yes,2,yes,semi-furnished,7.0,20.1
4638000,5702,3,3,2,yes,yes,yes,no,yes,0,no,unfurnished,1.0,8.9
2844000,1127,3,1,1,no,no,no,no,yes,0,yes,semi-furnished,16.0,0.3
4065000,5017,4,2,3,yes,no,no,no,no,0,no,unfurnished,5.0,1.8
3404000,6286,4,1,3,no,yes,yes,no,no,1,no,semi-furnished,13.0,9.2
4439000,8751,3,1,2,yes,no,no,no,no,1,no,furnished,4.0,11.6
2891000,4360,4,1,1,yes,no,yes,no,no,0,no,semi-furnished,10.0,14.7
3406000,3721,4,3,1,yes,no,yes,no,yes,1,no,unfurnished,18.0,2.8
2662000,4396,4,1,2,yes,no,no,no,no,0,no,unfurnished,32.0,21.4
5157000,7514,2,1,1,no,no,no,no,yes,2,yes,furnished,4.0,6.4
3555000,6223,5,2,4,no,no,no,no,no,1,no,unfurnished,5.0,9.5
3200000,4335,3,3,1,yes,yes,no,yes,no,1,no,semi-furnished,7.0,7.3
4506000,6629,3,1,2,yes,no,yes,no,no,1,no,furnished,31.0,1.0
3666000,5714,3,2,2,yes,yes,no,no,yes,3,no,semi-furnished,28.0,26.4
4190000,7631,1,1,2,no,no,yes,no,yes,0,no,furnished,1.0,1.0
3626000,3955,2,2,1,yes,no,no,yes,no,1,yes,semi-furnished,2.0,2.4
3728000,4779,4,2,2,yes,yes,no,no,no,2,no,semi-furnished,8.0,13.4
3736000,4637,1,2,1,yes,yes,yes,no,yes,1,yes,semi-furnished,1.0,7.7
2917000,2280,3,1,3,yes,no,no,no,yes,3,no,semi-furnished,5.0,14.6
3069000,6151,3,1,1,yes,no,no,no,no,1,no,semi-furnished,2.0,5.8
3245000,6074,2,1,3,yes,no,no,no,no,1,no,semi-furnished,12.0,3.8
4143000,5511,6,2,3,yes,no,no,no,no,0,no,furnished,36.0,20.4
2337000,4984,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished,69.0,0.3
3140000,2386,3,3,3,yes,no,yes,no,no,1,no,unfurnished,6.0,15.5
4219000,4575,3,4,1,yes,yes,yes,no,yes,0,no,furnished,11.0,2.1
3736000,4746,2,4,4,yes,no,yes,no,no,1,no,semi-furnished,23.0,15.1
2537000,3735,1,3,2,yes,no,no,no,yes,1,no,semi-furnished,1.0,1.2
3145000,5145,4,2,1,yes,no,no,no,yes,0,no,semi-furnished,14.0,6.9
4388000,6389,6,2,2,no,yes,no,no,yes,2,no,semi-furnished,6.0,17.5
4961000,9650,2,1,1,yes,no,no,yes,no,2,no,semi-furnished,3.0,5.1
3245000,5884,4,2,4,no,no,no,yes,no,0,no,furnished,6.0,11.0
3987000,6067,4,2,1,no,yes,yes,no,no,1,no,semi-furnished,1.0,13.1
3512000,5336,4,2,2,yes,no,no,no,no,2,no,semi-furnished,14.0,10.7
2138000,1279,3,3,2,yes,no,no,no,no,1,no,furnished,3.0,20.8
3605000,5442,3,1,3,yes,yes,no,no,no,1,no,semi-furnished,4.0,4.7
3483000,5633,3,1,1,yes,yes,yes,no,no,1,no,unfurnished,2.0,1.5
5974000,10919,4,3,2,yes,no,no,no,no,2,yes,unfurnished,24.0,0.4
4295000,5077,4,1,2,yes,no,yes,no,yes,3,no,furnished,8.0,2.3
2872000,6163,2,2,2,yes,yes,no,no,no,2,no,unfurnished,10.0,1.2
4117000,5424,3,3,1,yes,yes,no,no,yes,0,yes,semi-furnished,10.0,6.5
3058000,2929,5,2,1,yes,no,yes,no,no,1,no,semi-furnished,6.0,1.6
4608000,8014,4,2,1,no,no,no,no,yes,2,no,furnished,3.0,0.3
3867000,7154,6,1,2,yes,yes,no,no,no,0,no,semi-furnished,16.0,0.3
4023000,7240,4,1,1,no,yes,,no,no,3,no,unfurnished,,14.2
3031000,3499,3,3,2,yes,no,no,no,yes,3,no,semi-furnished,1.0,7.2
4352000,8586,3,2,1,yes,no,yes,no,no,0,no,unfurnished,15.0,3.5
2520000,2416,4,2,3,no,no,no,no,no,3,no,semi-furnished,3.0,18.0
3802000,6791,2,1,3,no,no,no,no,yes,1,no,semi-furnished,4.0,0.6
5757000,10319,3,1,2,yes,no,yes,no,yes,2,no,semi-furnished,8.0,31.4
3893000,3321,4,4,2,yes,no,no,no,yes,1,yes,unfurnished,7.0,7.7
3067000,4254,2,2,1,yes,no,no,yes,no,1,no,semi-furnished,15.0,1.6
3886000,5719,4,2,1,yes,no,yes,no,no,2,no,furnished,12.0,9.1
3224000,4392,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished,12.0,11.5
3472000,2089,6,2,2,no,no,yes,yes,yes,0,no,unfurnished,15.0,4.5
3811000,5651,1,4,2,yes,no,no,no,yes,1,no,unfurnished,4.0,15.8
3314000,3163,3,2,3,yes,no,no,no,yes,0,no,semi-furnished,5.0,1.3
5132000,6542,4,1,2,yes,no,yes,no,yes,1,yes,unfurnished,7.0,2.6
3199000,3477,3,2,2,no,no,no,no,no,1,no,furnished,4.0,0.8
4905000,8910,4,3,2,no,no,yes,no,no,1,no,furnished,50.0,1.9
3842000,3777,4,2,2,yes,no,no,no,yes,1,no,furnished,20.0,2.2
3185000,4791,2,3,1,yes,no,no,no,no,0,no,furnished,2.0,20.0
5006000,7290,3,2,2,yes,no,no,no,yes,0,no,furnished,0.0,0.7
2953000,2792,3,3,2,yes,no,yes,no,no,0,no,unfurnished,1.0,4.5
4118000,6000,3,2,2,yes,no,no,no,yes,1,no,semi-furnished,3.0,6.1
4880000,8376,5,1,3,no,yes,no,no,no,3,no,semi-furnished,1.0,18.3
1781000,1964,4,1,1,no,yes,no,no,yes,0,no,unfurnished,9.0,45.0
3856000,5906,4,1,1,yes,no,no,no,no,3,yes,unfurnished,23.0,11.2
4884000,6072,4,3,2,yes,no,yes,no,yes,2,yes,furnished,16.0,28.3
4612000,7220,3,3,2,yes,no,no,no,yes,2,no,semi-furnished,3.0,12.4
3385000,2779,5,2,1,yes,yes,no,no,no,2,no,semi-furnished,6.0,26.4
2886000,2595,4,1,3,yes,no,no,no,yes,2,no,unfurnished,9.0,9.8
4050000,6648,4,1,4,yes,yes,no,no,no,0,no,furnished,20.0,0.7
4413000,6153,5,3,3,yes,no,no,no,no,1,no,furnished,22.0,4.1
4192000,6051,3,2,1,yes,yes,yes,yes,no,2,no,unfurnished,29.0,8.3
4156000,6262,4,1,3,yes,yes,yes,no,no,1,yes,unfurnished,9.0,3.5
2916000,4004,2,2,2,yes,yes,yes,no,yes,2,no,semi-furnished,14.0,2.6
3094000,6011,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,1.0,6.9
2977000,6145,3,1,2,yes,no,no,no,no,2,no,furnished,10.0,21.7
3193000,3928,6,2,3,yes,yes,no,no,no,1,no,unfurnished,3.0,0.3
5126000,9605,5,1,2,yes,no,no,no,yes,1,no,furnished,7.0,11.7
5196000,6542,4,4,2,yes,yes,no,no,no,1,no,furnished,12.0,10.3
3017000,2879,4,1,2,yes,no,no,yes,yes,2,no,furnished,4.0,26.6
4040000,6944,3,1,2,no,no,yes,yes,yes,2,no,semi-furnished,1.0,21.4
2646000,3356,5,1,1,yes,no,no,no,yes,1,no,furnished,0.0,11.5
4846000,7232,3,3,3,yes,no,yes,no,yes,2,no,unfurnished,0.0,5.9
4094000,8049,3,2,2,yes,no,no,no,yes,1,no,unfurnished,0.0,1.8
2958000,3694,2,2,2,yes,no,yes,no,yes,0,no,semi-furnished,1.0,6.3
4971000,7619,4,1,1,no,no,yes,no,no,0,yes,semi-furnished,3.0,11.6
4065000,6408,4,1,2,no,no,no,no,yes,0,no,furnished,3.0,18.1
3518000,7309,3,2,1,no,yes,no,no,no,1,no,semi-furnished,52.0,12.5
5267000,9673,1,3,1,yes,no,no,no,yes,1,no,semi-furnished,4.0,1.7
4053000,4960,4,3,2,yes,no,no,no,yes,2,no,furnished,2.0,7.3
2143000,3842,1,1,2,yes,no,,no,no,2,no,semi-furnished,,3.2
4023000,3543,4,2,2,yes,no,no,no,no,0,yes,furnished,23.0,0.3
2898000,3705,6,3,1,yes,no,no,no,no,0,no,unfurnished,14.0,1.8
3145000,5330,3,2,2,no,yes,no,no,no,1,no,unfurnished,4.0,1.0
3867000,6251,2,3,1,no,yes,yes,no,yes,1,no,unfurnished,10.0,14.8
3913000,6109,4,1,4,yes,no,yes,no,no,0,yes,unfurnished,15.0,2.4
4983000,7320,4,4,2,yes,no,yes,no,no,0,no,unfurnished,16.0,2.7
4281000,5529,3,3,2,yes,no,no,no,yes,3,yes,semi-furnished,13.0,25.7
5690000,8698,6,4,1,yes,no,no,no,no,2,no,semi-furnished,25.0,3.8
3226000,4918,2,2,1,yes,no,yes,no,no,0,no,semi-furnished,24.0,0.3
5867000,11484,3,2,4,no,yes,no,no,yes,1,no,unfurnished,10.0,2.7
5095000,6876,4,4,1,yes,no,no,no,no,1,no,semi-furnished,7.0,1.0
2714000,3614,5,1,2,yes,no,no,no,no,2,no,unfurnished,12.0,0.9
2974000,3144,2,1,2,yes,yes,no,no,no,1,no,furnished,20.0,0.6
4563000,6561,4,2,1,yes,no,no,no,yes,0,no,semi-furnished,0.0,7.2
4021000,5008,3,3,3,no,yes,no,no,no,2,no,semi-furnished,58.0,1.7
5000000,7071,3,3,2,yes,no,no,no,yes,1,yes,unfurnished,2.0,3.6
3395000,6541,2,1,1,no,yes,yes,no,yes,1,no,furnished,8.0,15.8
4984000,5340,5,3,1,yes,no,yes,no,yes,1,no,semi-furnished,25.0,4.4
2294000,3637,2,2,1,yes,no,no,no,no,1,no,semi-furnished,3.0,19.8
2601000,2167,3,1,3,yes,no,no,yes,no,1,yes,furnished,8.0,5.5
3067000,4518,3,2,2,yes,no,no,no,no,0,no,semi-furnished,2.0,4.1
3884000,7384,5,1,1,yes,yes,no,no,no,1,no,semi-furnished,6.0,11.1
4270000,5971,4,1,1,yes,no,no,yes,yes,0,no,furnished,2.0,0.6
3906000,2759,4,4,2,yes,no,yes,no,yes,2,yes,semi-furnished,5.0,0.7
3353000,5881,3,2,2,yes,no,no,no,no,0,no,unfurnished,6.0,8.4
3678000,6348,4,2,2,no,no,no,no,no,0,no,unfurnished,60.0,5.3
3500000,3556,3,4,2,no,yes,no,no,no,2,yes,semi-furnished,63.0,12.5
4046000,5838,4,2,1,yes,yes,no,no,yes,2,no,semi-furnished,1.0,19.8
4457000,5628,5,3,2,no,no,yes,no,yes,2,no,semi-furnished,16.0,3.9
3174000,2985,1,2,4,yes,no,yes,no,yes,1,yes,unfurnished,1.0,7.3
4139000,6287,4,3,1,yes,no,no,no,yes,0,no,semi-furnished,0.0,5.6
3735000,6734,2,1,2,yes,no,no,no,yes,2,no,semi-furnished,1.0,32.0
5131000,7883,3,4,2,no,no,no,no,no,2,yes,furnished,40.0,14.2
4192000,7818,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,34.0,19.4
2537000,2469,3,1,1,yes,no,no,no,no,3,no,furnished,3.0,2.3
2866000,3437,3,3,3,yes,no,no,no,yes,0,no,unfurnished,2.0,11.8
4794000,6633,4,2,2,yes,no,no,no,yes,3,yes,semi-furnished,3.0,2.5
3925000,6630,3,2,2,yes,no,yes,no,no,2,no,semi-furnished,9.0,1.9
3901000,6633,4,2,1,yes,yes,yes,no,no,2,no,semi-furnished,10.0,23.1
6856000,13976,3,2,1,yes,no,no,no,no,3,no,unfurnished,3.0,0.3
3360000,6756,2,1,1,no,no,no,no,no,2,no,furnished,17.0,26.9
4003000,7998,4,1,2,yes,no,no,no,no,0,no,semi-furnished,4.0,1.3
4170000,7599,3,1,1,no,no,no,no,yes,1,yes,unfurnished,31.0,13.7
4142000,6933,3,2,2,yes,yes,no,no,yes,0,no,unfurnished,13.0,2.6
3142000,4806,4,1,2,yes,no,no,no,no,1,no,furnished,7.0,3.5
4064000,7170,3,2,2,yes,no,no,no,no,2,yes,semi-furnished,19.0,2.0
3814000,3800,2,2,2,yes,yes,no,no,yes,1,yes,semi-furnished,20.0,7.0
2851000,4979,3,1,2,no,no,yes,no,no,1,yes,unfurnished,4.0,3.4
3433000,4432,5,2,1,yes,no,no,no,no,1,no,furnished,5.0,8.6
3636000,5680,4,3,1,no,no,no,no,no,2,yes,semi-furnished,33.0,0.3
6044000,10592,4,1,2,yes,no,no,no,yes,0,no,furnished,2.0,0.5
2709000,1392,4,2,2,yes,yes,no,no,yes,1,no,furnished,1.0,0.8
4126000,7010,2,2,1,yes,no,no,no,no,0,yes,furnished,7.0,4.3
2020000,1952,3,2,2,yes,no,no,no,no,2,no,unfurnished,19.0,13.5
3699000,4462,4,2,1,yes,yes,no,no,no,0,yes,furnished,18.0,17.5
4293000,7896,2,2,1,yes,no,no,no,no,2,yes,unfurnished,30.0,2.2
3648000,5641,3,2,1,yes,no,yes,no,no,1,no,furnished,9.0,6.8
2251000,3129,3,1,3,yes,yes,no,no,no,0,no,unfurnished,1.0,11.7
2759000,3926,3,2,1,yes,no,no,yes,yes,3,no,unfurnished,11.0,2.7
3798000,6995,6,2,1,no,no,no,no,no,0,no,furnished,18.0,4.2
2666000,3893,2,1,1,yes,no,no,no,no,1,no,semi-furnished,1.0,5.9
3955000,5976,3,2,1,yes,no,yes,no,no,0,yes,semi-furnished,2.0,1.2
4219000,5600,2,4,2,yes,no,yes,no,no,1,yes,semi-furnished,0.0,0.3
3040000,4066,6,2,1,yes,yes,no,no,no,1,no,semi-furnished,11.0,1.3
4666000,10217,2,2,1,yes,no,yes,no,no,1,yes,semi-furnished,26.0,7.9
4407000,6895,3,3,2,yes,yes,yes,no,yes,0,no,unfurnished,13.0,0.6
2865000,1045,4,2,1,yes,no,yes,no,yes,1,yes,unfurnished,48.0,1.7
4198000,5910,4,2,2,yes,yes,no,no,yes,2,no,semi-furnished,1.0,3.3
3705000,4044,3,3,2,yes,no,yes,no,yes,2,no,unfurnished,28.0,0.6
4425000,7375,3,3,1,yes,no,yes,no,no,1,yes,unfurnished,20.0,1.7
3697000,3756,3,2,2,yes,yes,yes,no,yes,1,no,furnished,5.0,19.4
3083000,5248,3,2,1,yes,no,no,no,no,0,no,furnished,44.0,0.3
3827000,6611,2,2,2,yes,yes,no,no,no,1,yes,semi-furnished,4.0,8.5
4607000,7405,3,4,2,yes,no,no,yes,no,0,no,semi-furnished,26.0,3.9
3285000,2859,3,2,1,yes,no,no,no,no,0,yes,semi-furnished,26.0,8.9
4505000,4764,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,17.0,7.1
4103000,4455,4,3,3,yes,no,no,no,no,1,yes,unfurnished,10.0,2.0
3781000,4063,6,2,4,no,yes,no,no,yes,1,no,semi-furnished,2.0,15.0
5942000,9384,4,1,2,yes,yes,yes,no,no,3,yes,furnished,9.0,5.4
4227000,6391,2,2,2,yes,no,no,no,yes,0,yes,unfurnished,5.0,13.8
2247000,2726,2,2,1,yes,no,yes,no,no,2,no,unfurnished,19.0,4.2
5199000,7519,6,3,1,yes,no,yes,no,yes,2,no,semi-furnished,17.0,33.4
5228000,10169,3,1,2,yes,yes,no,no,yes,1,no,unfurnished,29.0,11.8
4653000,7771,2,3,2,yes,no,no,no,no,1,yes,furnished,0.0,27.0
1817000,2157,3,2,3,no,no,yes,no,no,1,no,semi-furnished,20.0,5.8
3453000,4435,4,1,2,yes,yes,yes,no,yes,0,no,furnished,33.0,5.1
5467000,8287,4,4,2,yes,no,no,no,no,1,no,furnished,19.0,11.3
3636000,3943,3,2,2,yes,no,no,no,yes,2,yes,semi-furnished,2.0,17.0
3445000,6476,1,1,3,no,no,no,no,yes,0,no,furnished,1.0,26.6
4693000,7204,6,2,2,yes,yes,no,no,no,0,no,semi-furnished,0.0,3.1
2493000,3461,3,3,2,yes,no,no,no,no,2,no,unfurnished,12.0,12.8
3915000,5369,4,1,1,yes,yes,no,no,no,2,yes,furnished,12.0,1.9
2237000,700,4,1,3,yes,no,yes,no,yes,1,yes,furnished,52.0,6.3
2434000,3246,4,1,1,yes,no,no,no,yes,2,no,unfurnished,6.0,1.6
3523000,4944,3,1,3,no,no,no,no,no,1,no,furnished,5.0,3.4
3212000,2755,3,3,2,yes,no,yes,no,yes,0,yes,semi-furnished,12.0,21.4
4552000,9091,3,2,2,yes,no,no,no,no,1,no,semi-furnished,21.0,1.3
3675000,2354,5,1,2,yes,no,yes,no,yes,1,yes,unfurnished,33.0,8.0
3545000,4532,5,1,2,yes,no,no,no,no,3,no,unfurnished,20.0,7.2
3345000,5788,2,1,1,yes,yes,yes,no,yes,0,no,unfurnished,7.0,1.0
5612000,8671,2,4,3,yes,no,no,no,yes,1,no,furnished,12.0,3.2
2779000,2341,5,1,2,yes,no,yes,no,no,1,yes,unfurnished,23.0,6.6
4937000,8059,4,4,1,yes,no,yes,no,no,1,no,furnished,8.0,1.7
3900000,5523,5,2,1,yes,no,no,no,no,0,no,furnished,3.0,12.9
2040000,3341,2,1,2,yes,no,no,no,no,1,no,semi-furnished,2.0,28.6
4158000,6517,3,3,2,yes,no,no,no,no,2,no,unfurnished,0.0,1.9
4902000,5938,4,2,2,yes,no,yes,no,no,1,yes,furnished,15.0,1.7
3706000,4180,4,2,2,yes,no,no,no,no,1,no,furnished,1.0,4.9
3949000,5654,3,4,2,no,yes,no,no,no,1,yes,unfurnished,3.0,11.0
3237000,4652,1,1,4,yes,no,yes,yes,no,1,no,unfurnished,4.0,2.6
3036000,5750,3,1,2,yes,no,no,no,no,1,no,semi-furnished,10.0,0.3
4774000,6957,3,2,3,yes,no,no,no,no,2,yes,semi-furnished,6.0,6.2
4374000,8989,3,1,1,yes,no,yes,no,no,3,no,unfurnished,13.0,25.1
3026000,2777,6,1,2,yes,yes,no,no,no,1,no,unfurnished,1.0,4.0
5005000,10193,3,1,1,yes,no,no,no,yes,1,no,semi-furnished,2.0,4.4
2813000,1205,4,1,2,yes,no,no,no,yes,2,no,semi-furnished,8.0,27.8
3322000,5166,2,3,3,yes,no,no,no,no,1,no,furnished,5.0,9.5
4378000,6794,4,1,1,yes,no,no,no,yes,1,no,semi-furnished,4.0,10.2
3846000,6118,6,2,1,yes,no,yes,no,no,0,no,semi-furnished,1.0,6.6
2748000,4130,2,2,3,no,yes,no,no,no,2,no,semi-furnished,27.0,29.4
3270000,5042,1,2,1,yes,yes,no,yes,no,1,no,semi-furnished,14.0,9.3
3560000,4415,3,1,2,yes,yes,no,no,no,2,yes,furnished,2.0,18.0
3560000,4203,2,3,2,yes,no,no,no,yes,2,yes,unfurnished,1.0,9.6
4306000,7369,4,1,3,yes,no,yes,no,no,0,no,furnished,44.0,10.6
4366000,6285,5,3,1,yes,no,no,no,no,2,no,semi-furnished,14.0,2.7
3945000,3976,3,3,1,yes,no,no,no,yes,2,no,unfurnished,6.0,2.9
3847000,7479,3,2,2,yes,no,no,no,no,1,no,semi-furnished,15.0,12.2
3578000,6176,3,2,3,yes,no,no,no,no,0,no,semi-furnished,17.0,2.8
4629000,7288,4,2,2,yes,no,no,no,yes,0,no,semi-furnished,18.0,6.6
3293000,6885,1,2,1,yes,no,no,no,no,1,no,unfurnished,8.0,2.3
2973000,3676,3,3,2,yes,yes,no,no,no,1,no,unfurnished,7.0,13.6
4494000,4268,4,3,3,yes,no,no,yes,yes,1,no,semi-furnished,0.0,0.9
2814000,7144,4,1,3,yes,no,no,no,no,0,no,unfurnished,31.0,14.1
4272000,6843,2,2,4,no,no,yes,no,no,2,yes,furnished,11.0,7.4
3760000,5454,4,3,1,yes,no,no,no,yes,1,yes,unfurnished,3.0,1.7
3386000,5758,2,4,1,yes,no,no,no,no,0,yes,unfurnished,30.0,6.2
5986000,8311,2,2,2,yes,no,yes,no,yes,1,yes,semi-furnished,30.0,2.7
3801000,4199,5,2,3,yes,no,no,no,no,1,yes,unfurnished,54.0,3.1
4385000,6704,4,1,1,yes,no,yes,no,yes,0,no,semi-furnished,25.0,3.5
3298000,5055,1,4,1,yes,no,no,no,yes,1,no,semi-furnished,73.0,0.5
2998000,5021,2,1,3,yes,yes,no,no,no,0,no,unfurnished,3.0,34.1
3751000,7917,2,2,1,yes,no,no,no,yes,2,no,semi-furnished,22.0,0.3
4481000,7316,3,1,2,no,yes,no,no,yes,2,no,semi-furnished,21.0,8.7
3707000,7290,2,1,2,no,no,yes,no,no,1,yes,unfurnished,3.0,3.7
4091000,8372,2,2,2,no,no,no,yes,no,2,no,unfurnished,1.0,8.3
4098000,5546,3,4,2,yes,no,yes,no,no,2,no,unfurnished,47.0,3.5
4087000,7000,4,1,2,no,no,yes,no,no,0,no,furnished,4.0,9.0
3501000,4817,4,2,2,yes,no,no,no,no,3,no,semi-furnished,25.0,10.5
3336000,6213,4,1,2,yes,yes,no,no,no,2,no,unfurnished,0.0,9.4
3329000,5214,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished,0.0,1.0
4958000,5713,6,2,2,yes,no,no,no,yes,0,yes,unfurnished,8.0,8.6
3710000,6809,4,2,1,no,no,no,no,yes,0,no,unfurnished,3.0,2.6
